Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
90L,88L,7.25621,427,9,-1.1,101,LOP20N3.DAT.raw
88L,89L,0.87718,745,14,-1.13,101,LOP20N1.DAT.raw
55M,6S,-0.95718,335,7,-1.3,101,LOP21N3.DAT.raw
6S,18S,2.13566,295,7,-0.5,101,LOP21N1.DAT.raw
26S,13S,-2.65516,353,8,-0.35,101,LOP22N4.DAT.raw
13S,18S,-1.2086,180,5,-0.59,101,LOP22N6.DAT.raw
18S,59M,-2.09634,306,7,1.01,101,LOP22N8.DAT.raw
59M,61M,1.73858,154,5,0.23,101,LOP22N10.DAT.raw
61M,55M,-0.82014,78,3,-0.09,101,LOP22N12.DAT.raw
55M,97L,-2.08736,439,9,0.45,101,LOP22N14.DAT.raw
100L,25S,6.4342,889,15,4.78,101,LOP22N2.DAT.raw
21S,27S,1.95362,279,7,-0.39,101,LOP30N9.DAT.raw
27S,28S,-3.83544,186,6,-0.44,101,LOP30N7.DAT.raw
28S,20S,1.29256,150,4,-0.14,101,LOP30N5.DAT.raw
20S,58M,-1.62491,336,8,0.34,101,LOP30N2.DAT.raw
58M,92L,-1.81471,437,9,-2.44,101,LOP30N4.DAT.raw
13S,17S,5.52536,317,9,0.17,213,NAT74.DAT.raw
17S,12S,-4.51124,161,5,0.36,101,NAT77.DAT.raw
12S,16S,2.65629,408,9,-1.16,213,NAT78.DAT.raw
16S,3S,3.54846,362,7,1.85,101,NAT72.DAT.raw
28S,12S,4.31664,373,7,-0.07,101,NAT86.DAT.raw
15S,30S,0.44328,112,3,-0.25,101,NAT84.DAT.raw
30S,16S,5.18759,400,7,1.58,101,NAT83.DAT.raw
52S,32S,2.35416,223,5,0.48,101,NAT89.DAT.raw
32S,31S,1.06044,137,3,0.75,321,NAT88.DAT.raw
31S,33S,3.15512,195,7,-0.57,101,NAT7.DAT.raw
33S,34S,-0.75686,164,3,0.04,101,NAT5.DAT.raw
34S,35S,1.56476,114,3,0.53,101,NAT3.DAT.raw
29S,15SN,-0.72682,124,3,-0.52,1220,MAT51.DAT.raw
15SN,30S,0.06177,107,3,0.64,1220,MAT48.DAT.raw
13S,13SN,0.06533,20,3,-0.78,1120,MAT03.DAT.raw
13SN,49SN,-4.33331,320,7,-0.48,1120,MAT05.DAT.raw
49SN,59M,0.96744,304,7,1.65,1120,MAT06.DAT.raw
34S,5SN,2.86639,364,8,0.02,1220,MAT40.DAT.raw
5SN,4SN,0.8699,163,5,1.24,1220,MAT39.DAT.raw
4SN,4S,0.37572,67,3,-0.29,1220,MAT36.DAT.raw
34S,36SN,3.76263,274,7,-0.84,1220,MAT35.DAT.raw
36SN,37S,-1.01612,184,5,-0.33,1220,MAT33.DAT.raw
37S,37SN,-0.91653,33,3,-0.2,1220,MAT27.DAT.raw
37SN,40SN,-0.2286,217,6,-0.62,1220,MAT28.DAT.raw
40SN,40S,-0.52732,19,3,-0.15,1220,MAT29.DAT.raw
33S,33SN,-0.02104,19,3,-0.13,1220,MAT46.DAT.raw
33SN,31SN,-3.4691,282,7,0.08,1220,MAT47.DAT.raw
31SN,31S,0.33478,56,3,0.78,1220,MAT43.DAT.raw
12S,12SN,-0.26906,55,3,0.11,1220,MAT23.DAT.raw
12SN,17SN,4.7286,186,5,-1.31,1220,MAT24.DAT.raw
17SN,16S,-1.80288,199,7,0.37,1220,MAT25.DAT.raw
8S,19SN,2.79946,181,5,0.37,1220,MAT53.DAT.raw
19SN,9SN,-0.99661,135,3,0.34,1220,MAT54.DAT.raw
9SN,20S,9.47266,341,9,-2.09,1220,MAT55.DAT.raw
20S,28SN,-1.28003,131,3,-0.06,1120,MAT15.DAT.raw
28SN,27SN,2.29037,179,5,-0.66,1120,MAT16.DAT.raw
27SN,26S,3.65149,179,7,-0.1,1220,MAT19.DAT.raw
23S,24SN,4.34848,141,5,0.82,1120,MAT12.DAT.raw
24SN,25SN,2.53978,78,3,0.12,1120,MAT13.DAT.raw
25SN,22S,-1.76204,225,5,-0.32,1120,MAT08.DAT.raw
