Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,
33SN,31SN,-3.4691,282,7,0.08,1220,MAT47.DAT.raw,0.000
15S,10S,-1.57114,310,7,0.07,219,Loop2829.raw,0.000
61M,55M,-0.82014,78,3,-0.09,101,LOP22N12.DAT.raw,0.000
91L,79L,-7.57576,432,9,0.21,219,Loop26_27.raw,0.000
21S,92L,-4.02756,289,7,-0.21,101,LOP16N3.DAT.raw,0.000
81L,82L,-2.17668,1025,20,-0.09,121,NAT31.DAT.raw,0.000
402,401,-0.54577,799,13,-0.04,219,Loop06-V.raw,0.000
96L,56M,-0.15348,206,5,-0.07,101,LOP15N3.DAT.raw,0.000
34S,5SN,2.86639,364,8,0.02,1220,MAT40.DAT.raw,0.000
300PIK,54M,7.1954,588,11,0.05,122,NAT08.DAT.raw,0.000
63L,64L,-1.88857,316,7,-0.02,119,loop08-2.raw,0.000
82L,85L,2.56081,647,11,-0.18,120,NAT26.DAT.raw,0.000
82L,85L,2.56081,647,11,-0.18,120,NAT26.DAT.raw,0.000
46M,50M,1.23823,258,5,-0.02,119,Loop9.raw,0.000
33S,34S,-0.75686,164,3,0.04,101,NAT5.DAT.raw,0.000
53M,80L,-9.32937,662,13,-0.24,121,NAT05.DAT.raw,0.000
300PIK,83L,-1.22654,380,9,-0.15,123,NAT13.DAT.raw,0.000
7S,39S,-2.97598,153,5,-0.21,101,NAT47.DAT.raw,0.000
23S,24S,4.92788,138,5,-0.17,101,LOP17N7.DAT.raw,0.000
13S,17S,5.52536,317,9,0.17,213,NAT74.DAT.raw,0.000
4SN,4S,0.37572,67,3,-0.29,1220,MAT36.DAT.raw,0.000
65L,47M,5.3604,314,7,-0.54,119,loop08-2.raw,0.000
95L,93L,-1.15756,433,10,-3.64,101,LOP14N6.DAT.raw,0.000
28S,20S,1.29256,150,4,-0.14,101,LOP30N5.DAT.raw,0.000
2S,3S,3.01968,195,5,-0.29,101,NAT64.DAT.raw,0.000
39S,300PIK,-7.30588,540,11,-0.24,101,NAT46.DAT.raw,0.000
5S,4S,1.7126,210,5,1.43,101,NAT60.DAT.raw,0.000
21S,27S,1.95362,279,7,-0.39,101,LOP30N9.DAT.raw,0.000
17S,12S,-4.51124,161,5,0.36,101,NAT77.DAT.raw,0.000
36S,37S,-0.97435,179,5,-0.36,101,NAT55.DAT.raw,0.000
49M,62L,-5.39814,497,9,0.25,119,loop08-2.raw,0.000
83L,82L,-5.10336,292,7,0.77,101,NAT15.DAT.raw,0.000
35S,36S,2.15436,164,5,-0.39,101,NAT56.DAT.raw,0.000
36SN,37S,-1.01612,184,5,-0.33,1220,MAT33.DAT.raw,0.000
27S,28S,-3.83544,186,6,-0.44,101,LOP30N7.DAT.raw,0.000
34S,35S,1.56476,114,3,0.53,101,NAT3.DAT.raw,0.000
73L,42M,7.61273,321,11,0.48,119,Loop05-2.raw,0.000
25S,26S,4.33084,410,8,-0.48,101,LOP17N3.DAT.raw,-0.001
64L,65L,1.5081,383,7,0.33,119,loop08-2.raw,-0.001
4S,35S,-2.5456,146,5,0.74,101,NAT59.DAT.raw,-0.001
51M,52S,1.18983,184,5,-0.32,119,Loop05-2.raw,-0.001
15S,30S,0.44328,112,3,-0.25,101,NAT84.DAT.raw,-0.001
42M,400,-10.72334,450,11,-0.62,119,Loop05-2.raw,-0.001
40S,7S,-5.60216,322,9,0.82,206,NAT51.DAT.raw,-0.001
72L,73L,7.54703,267,7,-0.48,119,Loop05-2.raw,-0.001
37S,40S,-1.66778,218,5,0.33,101,NAT52.DAT.raw,-0.001
85L,300PIK,3.77054,643,13,1.38,101,NAT23.DAT.raw,-0.001
31S,33S,3.15512,195,7,-0.57,101,NAT7.DAT.raw,-0.001
48M,49M,5.222,431,12,0.27,219,Loop26_27.raw,-0.001
67L,4685,-7.11878,576,11,0.61,119,Loop05-2.raw,-0.001
52S,32S,2.35416,223,5,0.48,101,NAT89.DAT.raw,-0.001
37S,2S,3.4563,220,5,-0.78,101,NAT62.DAT.raw,-0.001
5SN,4SN,0.8699,163,5,1.24,1220,MAT39.DAT.raw,-0.001
52S,42M,-4.62127,479,9,-1.68,119,Loop05-2.raw,-0.001
14S,96L,5.4711,278,7,-2.53,101,LOP15N5.DAT.raw,-0.002
54M,84L,-4.20354,300,7,-2.45,101,NAT03.DAT.raw,-0.002
2977b,89L,11.59553,1191,22,-3.24,101,NAT2.DAT.raw,-0.002
88L,89L,0.87718,745,14,-1.13,101,LOP20N1.DAT.raw,-0.002
6S,18S,2.13566,295,7,-0.5,101,LOP21N1.DAT.raw,-0.002
34S,36SN,3.76263,274,7,-0.84,1220,MAT35.DAT.raw,-0.002
24S,25S,2.22502,82,4,-1.08,101,LOP17N5.DAT.raw,-0.003
38S,6S,-5.10778,225,5,0.8,101,NAT70.DAT.raw,-0.003
26S,21S,-4.07148,206,5,-0.85,101,LOP17N1.DAT.raw,-0.003
32S,31S,1.06044,137,3,0.75,321,NAT88.DAT.raw,-0.003
39S,6S,6.15399,280,8,-1.62,101,NAT49.DAT.raw,-0.003
100L,25S,6.4342,889,15,4.78,101,LOP22N2.DAT.raw,-0.004
62L,63L,1.0483,469,9,-0.92,119,loop08-2.raw,-0.004
89L,98L,-0.373,499,11,-1.57,101,LOP19N1.DAT.raw,-0.004
400,67L,0.7509,764,13,1.37,119,Loop05-2.raw,-0.005
50M,60M,1.37828,397,9,-0.62,119,Loop9.raw,-0.005
30S,16S,5.18759,400,7,1.58,101,NAT83.DAT.raw,-0.005
3S,38S,-5.45554,272,7,1.2,101,NAT71.DAT.raw,-0.006
73L,72L,-7.53943,238,7,1.9,120,NAT30.DAT.raw,-0.007
84L,53M,3.92904,521,9,5.29,122,NAT02.DAT.raw,-0.007
19S,9S,-0.96409,152,5,0.76,219,Loop26_27.raw,-0.010
14S,22S,5.4986,367,7,-0.21,101,LOP16N6.DAT.raw,-0.012
60M,10S,2.82848,400,8,4.22,119,Loop25-2.raw,-0.024
9S,20S,9.59104,368,10,1.2,219,Loop2829.raw,-0.025
47M,46M,10.26228,496,9,-1.83,119,Loop9.raw,-0.040
8S,19S,2.96648,174,5,-1.67,219,Loop26_27.raw,-0.076
